                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3707,                 1.6086,                  1.318,                0.69192,                0.49284,                0.57204,                0.35795,                 1.9666,                 1.4729,                 1.9629,             0.00030084,             0.00030084,             0.00030084
                      2,                 1.3248,                 1.4868,                 1.2911,                0.67424,                0.50588,                 0.5861,                0.37369,                 1.8786,                 1.4013,                 1.8164,             0.00058391,             0.00058391,             0.00058391
                      3,                 1.3493,                 1.4448,                   1.31,                 0.7266,                0.54591,                0.62527,                0.39659,                 1.9442,                 1.3637,                  2.082,             0.00084698,             0.00084698,             0.00084698
                      4,                 1.3042,                 1.3492,                  1.287,                0.83479,                0.55371,                0.65526,                0.41382,                 1.8849,                  1.284,                 1.9535,             0.00081901,             0.00081901,             0.00081901
                      5,                 1.2442,                 1.2467,                 1.2462,                0.78134,                0.61106,                0.71232,                0.46855,                 1.8084,                 1.2459,                 2.0341,             0.00078901,             0.00078901,             0.00078901
                      6,                 1.2033,                 1.1735,                  1.228,                0.79249,                0.57244,                0.67943,                0.44179,                 1.7954,                 1.1994,                 2.0064,             0.00075902,             0.00075902,             0.00075902
                      7,                 1.1642,                 1.1079,                 1.2114,                0.81358,                0.63798,                0.74522,                0.49404,                  1.764,                 1.1954,                  1.948,             0.00072902,             0.00072902,             0.00072902
                      8,                 1.1252,                  1.051,                 1.1828,                0.81104,                0.68215,                0.75988,                0.52314,                 1.7006,                  1.056,                  1.981,             0.00069902,             0.00069902,             0.00069902
                      9,                 1.0918,                 1.0183,                 1.1682,                  0.857,                0.62588,                0.75456,                0.51363,                 1.7319,                 1.1263,                 2.1059,             0.00066902,             0.00066902,             0.00066902
                     10,                 1.0715,                0.97429,                 1.1551,                0.84387,                0.68651,                0.78355,                0.55215,                 1.6788,                0.99633,                 2.0133,             0.00063903,             0.00063903,             0.00063903
                     11,                  1.032,                0.93468,                 1.1395,                0.80779,                   0.68,                0.77965,                0.54207,                 1.7323,                 1.1385,                 2.1427,             0.00060903,             0.00060903,             0.00060903
                     12,                  1.013,                0.90865,                  1.127,                0.84587,                0.73604,                0.80834,                0.58566,                 1.6272,                0.97735,                 2.0862,             0.00057903,             0.00057903,             0.00057903
                     13,                0.99759,                0.88648,                 1.1209,                0.85402,                0.70471,                  0.815,                0.58822,                 1.6261,                 0.9813,                 1.9599,             0.00054904,             0.00054904,             0.00054904
                     14,                0.97502,                 0.8698,                   1.11,                0.89753,                0.71617,                0.82754,                0.60487,                 1.5954,                0.96297,                 2.0088,             0.00051904,             0.00051904,             0.00051904
                     15,                0.94339,                0.83583,                 1.0948,                0.87103,                0.74016,                0.83104,                0.61106,                 1.5601,                0.92843,                 1.9897,             0.00048904,             0.00048904,             0.00048904
                     16,                0.94084,                0.82123,                 1.0874,                0.87074,                0.73394,                0.84197,                0.62542,                 1.5427,                0.93097,                 2.0501,             0.00045904,             0.00045904,             0.00045904
                     17,                0.90548,                0.79349,                 1.0768,                0.90875,                0.73996,                0.85721,                0.64281,                  1.542,                0.85712,                 2.0246,             0.00042905,             0.00042905,             0.00042905
                     18,                 0.8917,                 0.7798,                 1.0705,                0.86546,                0.78836,                0.86256,                0.64674,                 1.5489,                0.87991,                 2.0459,             0.00039905,             0.00039905,             0.00039905
                     19,                0.88648,                0.75723,                 1.0631,                0.87579,                0.78379,                 0.8659,                0.65313,                 1.5239,                 0.8599,                 2.0914,             0.00036905,             0.00036905,             0.00036905
                     20,                0.86221,                0.74909,                 1.0534,                0.88284,                0.77917,                 0.8659,                0.66501,                 1.4968,                0.85788,                 1.9765,             0.00033906,             0.00033906,             0.00033906
                     21,                0.80657,                0.66654,                0.99481,                0.88098,                0.77834,                 0.8653,                0.64774,                  1.511,                0.83491,                 2.0612,             0.00030906,             0.00030906,             0.00030906
                     22,                0.76787,                0.62849,                0.98191,                0.89036,                0.78559,                0.87292,                0.66623,                 1.5017,                0.80663,                 2.0881,             0.00027906,             0.00027906,             0.00027906
                     23,                0.75865,                0.60062,                0.97199,                0.89096,                0.79372,                0.87862,                0.67222,                 1.5006,                0.80064,                 2.0723,             0.00024907,             0.00024907,             0.00024907
                     24,                0.73718,                0.58884,                0.96306,                0.88831,                0.79681,                0.88342,                0.68428,                 1.4749,                0.80602,                  2.071,             0.00021907,             0.00021907,             0.00021907
                     25,                0.71114,                0.57086,                0.95498,                0.89789,                0.81132,                 0.8922,                 0.6969,                 1.4545,                0.77993,                 2.0727,             0.00018907,             0.00018907,             0.00018907
                     26,                0.68091,                0.54996,                0.94248,                0.88851,                0.82255,                0.89734,                0.70374,                  1.442,                0.77753,                 2.0889,             0.00015907,             0.00015907,             0.00015907
                     27,                0.67081,                0.54504,                0.94165,                0.90764,                0.81506,                0.89908,                0.70851,                 1.4453,                 0.7868,                 2.0851,             0.00012908,             0.00012908,             0.00012908
                     28,                0.65331,                0.52403,                0.93537,                0.89076,                0.83179,                0.90078,                0.71532,                 1.4251,                0.76383,                 2.0972,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     29,                 0.6377,                0.51753,                 0.9309,                0.90411,                0.82571,                0.90529,                0.72944,                 1.4042,                 0.7662,                 2.0965,             6.9084e-05,             6.9084e-05,             6.9084e-05
                     30,                0.62224,                0.50575,                0.92274,                0.90085,                0.83183,                0.90655,                0.73032,                 1.3921,                0.75598,                 2.0922,             3.9087e-05,             3.9087e-05,             3.9087e-05
